,Identifier,TOR0,TOR1
0,ACIWOZ,30.48,8.52
1,ACIWOZ,11.63,171.9
2,ACIZAP,174.66,7.04
3,ALAMUX,4.39,0.92
4,ALUDIW,0.27,171.99
5,ALUDIW,175.45,1.73
6,AMEGIK,0.39,1.38
7,ATUYOF,6.26,172.59
8,ATUYUL,3.52,4.15
9,AVACEH,17.21,168.88
10,AVACIL,5.87,167.86
11,AVACOR,3.71,174.19
12,AVADAE,0.51,171.46
13,AVADAE,3.61,177.41
14,BPTUCO,0.92,175.52
15,BPTUCO,169.22,0.54
16,BPTUNI,10.66,179.72
17,BPTUNI,175.89,1.66
18,BUFLUK,5.93,176.34
19,DISVEH,6.64,9.1
20,DUWLAJ,179.79,6.99
21,DUWLAJ,177.66,3.57
22,EGOREZ,179.14,8.37
23,EGOREZ,7.35,173.77
24,EGOREZ,170.43,2.97
25,EGOREZ,4.68,164.53
26,ELOPIE,178.08,0.49
27,ELOPIE01,0.98,176.76
28,ELOPIE01,163.34,6.65
29,ELOPOK,150.84,150.84
30,EMALEL,172.04,5.76
31,ENIHEQ,16.31,161.73
32,FAHNOU,3.27,173.72
33,FAHNOU,5.6,173.97
34,FEBWOA,11.47,5.37
35,FINQID,10.0,3.53
36,FINQID,11.35,5.09
37,FOWCAW,6.97,169.86
38,FOWCAW,1.02,171.99
39,FOWCAW01,0.53,171.68
40,FOWCAW01,8.46,169.2
41,FUDPIF,5.51,5.37
42,FUHPUT,3.08,172.58
43,FUWHUB,0.53,1.6
44,GADROU,2.86,7.98
45,GADRUA,14.29,0.94
46,GADSAH,6.21,6.21
47,GARFIQ,166.83,9.79
48,GIRTAD,179.07,1.29
49,GISTOS,171.11,13.81
50,GISTOS,165.96,12.34
51,HACFOH,3.56,9.26
52,HACFOH,0.87,10.5
53,HADROU,0.01,6.34
54,HAMRUK,179.22,6.08
55,HAMRUK,172.22,5.28
56,HICWOH,1.02,1.19
57,HIVXIV,18.17,1.58
58,HIVXOB,0.63,8.07
59,IKENOD,5.85,0.91
60,IKENUJ,168.1,9.49
61,INUNAH,179.39,17.51
62,INUNEL,12.72,178.44
63,JUGSIN,4.08,4.19
64,KIGHOY,2.67,9.24
65,KIWDIF,16.23,168.96
66,LAPPOJ,179.31,6.05
67,LAPPOJ,178.71,5.44
68,LESMUS,3.94,179.21
69,LIHYOS,9.41,161.6
70,LIHYOS,162.93,10.76
71,LIHYUY,6.6,6.42
72,LIHYUY,4.55,3.54
73,LIJBAJ,14.33,0.17
74,LIJBAJ,1.89,10.0
75,LIJBAJ,4.3,1.17
76,LIJBAJ,1.86,4.46
77,LIJBAJ,6.86,1.5
78,LIJBAJ,1.92,3.3
79,LIMBEQ,3.74,153.55
80,LIMBEQ,176.88,3.01
81,LIMBEQ,158.25,18.74
82,MEFLAM,2.21,2.21
83,MEFLOA,169.93,1.32
84,MEFLUG,2.95,3.76
85,MEFMAN,2.2,4.9
86,MILTUY,1.81,9.42
87,MIWHOP,3.92,0.67
88,MIWHOP01,1.89,1.89
89,MIWHOP02,0.63,4.55
90,NABKEH,15.14,4.79
91,NOYFIQ,5.47,180.0
92,OYUGOG,14.36,5.3
93,OZITUN,8.1,8.64
94,PEVRUF,4.49,177.35
95,QAGFUB,3.54,8.45
96,QAGFUB,2.39,2.72
97,QAJROK,167.9,0.28
98,QAWLOS,174.86,8.47
99,QAWLUY,175.65,2.03
100,QAWLUY,166.19,20.66
101,QOBLUQ,157.15,151.85
102,QOBLUQ,154.65,156.61
103,QQQDVM02,165.1,8.13
104,QQQDVM03,7.99,6.66
105,RERYOE,6.09,174.23
106,RERYOE,164.96,13.44
107,ROVPOJ,4.07,176.09
108,SILCIZ,172.87,1.75
109,TOBFUM,172.36,0.3
110,TOBFUM,170.15,6.66
111,TOBFUM01,1.27,172.02
112,TOBFUM01,8.57,170.29
113,UCEZEK,6.52,14.99
114,UNIQAL,178.03,13.7
115,UWUQOU,172.12,0.09
116,UWUQOU,2.7,177.19
117,UWUQOU,145.16,16.55
118,VACNAO,12.51,177.11
119,VACNES,7.39,175.92
120,VEDDUE,3.14,0.48
121,VOFDUR,3.4,1.91
122,WAFFAM,169.78,9.73
123,WEFQEE,1.04,1.04
124,WOLQAQ,4.51,9.75
125,WOLQEU,3.66,10.96
126,WUDFAD,0.95,171.29
127,WUDFAD,8.24,168.19
128,WUDFOR,12.22,10.34
129,WUDFOR,0.34,18.71
130,WUDFUX,2.68,172.76
131,WUDFUX,6.77,171.38
132,WUDGAE,0.76,174.27
133,WUDGAE,5.97,165.09
134,WUDGEI,7.38,173.05
135,WUDGEI,6.56,166.26
136,WUMKUM,176.0,3.98
137,XEQYAU,163.12,5.32
138,XEQYAU,8.66,176.8
139,XEQYAU,5.63,170.02
140,XEQYAU,171.86,4.79
141,XEWXUT,5.7,176.88
142,XICBAN,3.08,174.81
143,XIXJOD,155.74,152.74
144,YAGGAQ,5.62,178.07
145,YAGGAQ01,177.66,5.55
146,YANCOH,175.15,3.1
147,YEBXUA,14.51,7.86
148,YEYNUM,6.07,0.02
149,YEYNUM01,5.47,0.26
150,YEYQUP,6.86,173.6
151,YEYQUP,8.54,174.38
152,YEYQUP01,8.35,174.56
153,YEYQUP01,173.78,5.74
154,YIFGIE,2.43,177.6
155,YIFGIE01,2.83,177.53
156,YOFHUX,179.1,2.73
157,ZEYBIO,3.01,3.01
158,ZEYBIO01,178.42,4.79
159,ZEYBIO02,2.38,2.38
160,ZEYBIO04,2.42,2.42
161,ZIVGEQ,176.12,5.78
162,ZIVGEQ,178.29,5.92
163,ZIVGEQ01,1.73,8.32
164,ZURTUD,0.37,0.69
