,Identifier,TOR0
0,ABUHIO,177.65
1,ABUHOU,179.4
2,ABUHUA,179.72
3,ABUHUA,179.86
4,ACEWIP,178.87
5,ACNTCB,178.55
6,ACNTCB,177.26
7,ACUZEF,177.28
8,ACUZEF,1.19
9,ACUZEF,178.39
10,ACUZEF,0.16
11,ADDHMP,179.55
12,AEPCNQ10,175.52
13,AFECUJ,179.17
14,AFECUJ,179.6
15,AFECUJ,177.81
16,AFECUJ,179.12
17,AFECUJ,177.97
18,AFECUJ,177.73
19,AFECUJ01,178.49
20,AFECUJ01,178.09
21,AFESIO,171.16
22,AFILUY,175.13
23,AFINIO,167.79
24,AFUDEL,178.62
25,AFUDEL01,177.69
26,AFUDEL02,177.69
27,AFUDEL03,177.69
28,AFUDEL04,177.69
29,AFUDEL05,177.69
30,AFUDEL06,177.69
31,AFUDEL07,177.69
32,AFUDEL08,177.69
33,AFUDEL09,177.69
34,AFUDEL10,177.69
35,AFUNAS,179.78
36,AGANAZ,176.21
37,AGEYAO,176.0
38,AGEYES,174.51
39,AGEYIW,179.97
40,AGIDAX,179.77
41,AGIDOL,177.51
42,AGIDUR,177.49
43,AGOFUZ,178.29
44,AGOFUZ,178.54
45,AGOGAG,179.83
46,AGOGAG,177.97
47,AGOKEO,178.9
48,AGOKEO,176.76
49,AGONIV,177.44
50,AGONIV,176.4
51,AGUVIJ,178.61
52,AGUVIJ,179.14
53,AGUVIJ,177.07
54,AGUVOP,176.59
55,AGUVOP,178.36
56,AGUVOP,174.33
57,AGUVUV,178.1
58,AGUVUV,178.6
59,AGUVUV,178.42
60,AGUWEG,176.6
61,AGUXIL,178.68
62,AGUXOR,177.13
63,AGUXOR,178.91
64,AHUXAC,178.43
65,AJADAS,178.99
66,AJADAS,178.8
67,AJADAS,177.94
68,AJAGIB,178.84
69,AJAMIJ,177.53
70,AJAMIJ,179.12
71,AJAMIJ,177.91
72,AJAMIJ,179.99
73,AKULAU,175.32
74,ALDRIN,174.06
75,ALDRIN,172.88
76,ALEWAR,179.35
77,ALUTIM,1.94
78,ALUTIM,1.71
79,AMCLAN10,179.75
80,AMCLAN11,179.46
81,AMEBUP,177.05
82,AMEFAB,2.74
83,AMEFAB,5.07
84,AMEJUZ,5.1
85,AMEJUZ,1.77
86,ANPHXN,178.39
87,ANPHXN,177.7
88,ANUYAL,19.55
89,ANUYAL,171.16
90,APAVUJ,175.5
91,APEVEX,176.94
92,APEVEX,174.29
93,AQUSEM,179.08
94,AQUSOW,177.29
95,AQUSOW,179.7
96,AQUSUC,177.29
97,AQUSUC,178.2
98,ASAVUL,176.12
99,ASIHIV,176.34
100,ASIHIV,175.52
101,ASIHIV,178.13
102,ASIHIV,179.55
103,ASIHIV01,177.2
104,ASIHIV01,177.26
105,ASIHIV02,176.44
106,ASIHIV02,175.71
107,ASIHIV02,178.13
108,ASIHIV02,179.67
109,ASIHIV03,176.89
110,ASIHIV03,176.7
111,ASUWAN,1.57
112,ASUXUH,176.36
113,ATDSNO,174.67
114,ATDSNO,177.96
115,ATUCEZ,177.0
116,ATUCEZ,178.29
117,ATUCEZ,178.87
118,ATUCEZ,177.54
119,ATUCID,173.3
120,ATUCID,173.91
121,ATUCID,174.8
122,ATUCID,173.22
123,AVOWOZ,173.8
124,AVUSOB,172.14
125,AVUSOB,177.95
126,AVUSOB,173.93
127,AVUSOB,175.25
128,AWATEZ,178.04
129,AWUSIW,178.31
130,AWUSUI,176.59
131,AWUSUI,179.74
132,AWUSUI,179.14
133,AWUSUI,176.93
134,AWUTAP,177.21
135,AWUTAP,177.89
136,AWUTAP,175.34
137,AWUTAP,176.81
138,AWUTAP,174.28
139,AWUTAP,178.81
140,AWUTAP,179.9
141,AWUTAP,176.19
142,AWUTIX,179.7
143,AWUTIX,177.12
144,AWUTIX,178.19
145,AWUTIX,178.37
146,AXAJUF,0.97
147,AXANUJ,178.68
148,AXAPAR,166.06
149,AXOXUH,3.11
150,AXUQUH,173.7
151,AYIDIX,177.28
152,AYIDIX,3.8
153,AYUWAT,174.76
154,AYUWAT,172.58
155,AZUBUT,179.82
156,BABCIQ,179.19
157,BABCIQ01,178.59
158,BABXUX,175.68
159,BABXUX,175.85
160,BABXUX,175.88
161,BABXUX,178.31
162,BACMAL10,178.67
163,BACMAL10,177.13
164,BACMAL11,179.22
165,BACMAL11,176.93
166,BACQOO,179.82
167,BAGHIA,174.37
168,BAGHIA,172.36
169,BAGHIA,172.34
170,BAGHIA,171.69
171,BAGHUM,174.55
172,BAGHUM,172.97
173,BAGHUM,176.4
174,BAGHUM,175.94
175,BAGJOJ,172.84
176,BAGJOJ,177.35
177,BAGLEA,175.72
178,BAGLEA,173.17
179,BAGLEA,174.96
180,BAGLEA,175.73
181,BAGLUQ,174.05
182,BAGLUQ,171.59
183,BAGMEE,173.49
184,BAHCUI,173.83
185,BAHCUI,176.12
186,BAKBAS,178.97
187,BAKBEW,179.1
188,BAKBIA,179.87
189,BAKBOG,176.61
190,BALQEM,0.35
191,BALXAO,4.5
192,BAMSOA,0.07
193,BANLUX,172.15
194,BANMEI,175.96
195,BAQPUH,0.04
196,BARLEM,175.02
197,BARLEM,178.55
198,BARLIQ,180.0
199,BARLIQ,175.31
200,BARLOW,178.3
201,BASBED,178.83
202,BATCEE,172.11
203,BATCEE,175.97
204,BATCEE,176.82
205,BATCEE,176.5
206,BATROE,0.52
207,BAVMIU,179.25
208,BAVNER,174.36
209,BAYSIG,172.04
210,BAYXEE,176.07
211,BAYXEE,175.9
212,BAYXEE10,175.81
213,BAYXEE10,175.89
214,BAZDAH,179.07
215,BAZDAH,178.33
216,BAZVAZ,2.07
217,BEBJIC,179.91
218,BEBWAG,178.88
219,BEBWAG,179.4
220,BEDTUB,175.67
221,BEFQEJ,3.11
222,BEGCOF,177.13
223,BEGGOJ,178.85
224,BEGGOJ,178.68
225,BEGNUX,176.81
226,BEGPAF,172.21
227,BEGPEJ,175.27
228,BEGPIN,176.31
229,BEGQUB,0.27
230,BEKJUW,179.91
231,BEKJUW,177.09
232,BEMKUZ,179.47
233,BEMSUH,172.57
234,BEMSUH,177.65
235,BEQBOO,173.9
236,BEQBOO,178.75
237,BEQBOO,175.92
238,BEQBOO,179.78
239,BEQBUU,176.31
240,BEQBUU,177.24
241,BEQBUU,175.54
242,BEQBUU,176.58
243,BEQCAB,174.81
244,BEQCAB,178.22
245,BEQCAB,179.95
246,BEQCAB,179.88
247,BEQUAC10,179.9
248,BEXSUS,177.14
249,BEXVEF,172.93
250,BEXVEF,170.47
251,BIDLIJ,179.75
252,BIDLIJ,174.72
253,BIDLIJ,177.28
254,BIDLIJ,176.62
255,BIDSEM,178.4
256,BIDTEN,178.76
257,BINDOS,178.95
258,BINQAQ,165.45
259,BIPJAL10,177.98
260,BIPJAL10,179.93
261,BIPJAL10,178.78
262,BIPJAL10,179.67
263,BITCUE,179.88
264,BITZUB,1.38
265,BIVHOD,171.8
266,BOLLUJ,179.45
267,BOLLUJ,1.94
268,BOPBUF,179.01
269,BOPBUF,176.19
270,BOQHOE,180.0
271,BOQHUK,179.85
272,BOQHUK,179.37
273,BOQHUK01,179.98
274,BOQHUK01,179.43
275,BOQHUK02,179.95
276,BOQHUK02,179.18
277,BOQHUK03,179.99
278,BOQHUK03,179.31
279,BOQHUK04,179.99
280,BOQHUK04,179.32
281,BOQHUK05,179.98
282,BOQHUK05,179.34
283,BOQHUK06,179.96
284,BOQHUK06,179.39
285,BOQHUK07,179.95
286,BOQHUK07,179.41
287,BOQHUK08,179.98
288,BOQHUK08,179.42
289,BORZOX,175.01
290,BSFULC,172.01
291,BSFULC,174.88
292,BSFULC,167.55
293,BSFULC,172.38
294,BUCJIS,177.18
295,BUCJIS,177.26
296,BUCJUE,179.0
297,BUDORH,154.24
298,BUDORH,146.55
299,BUDORH,152.24
300,BUDORH,150.12
301,BUFCIP,1.57
302,BUFMEW,177.43
303,BUFMEW,0.34
304,BUFMIA,1.36
305,BUFMIA,179.68
306,BUMDIW,171.75
307,BUMDIW,3.37
308,BUMJEY,177.77
309,BUMJEY,179.25
310,BUMJEY,179.69
311,BUMJEY,172.75
312,BUMJEY,178.41
313,BUMJEY,178.18
314,BUMJEY,176.25
315,BUMJEY,173.87
316,BUMTEI,179.0
317,BUMTEI,176.16
318,BUMTEI,178.72
319,BUMTEI,175.15
320,BURVEP,177.47
321,BURVEP,1.0
322,BUTPUB,177.6
323,BUTPUB,178.56
324,BUTRAJ,179.89
325,BUTRAJ,176.66
326,BUTRAJ,179.98
327,BUTRAJ,171.02
328,BUTREN,177.92
329,BUTREN,178.27
330,BUVCOK,176.47
331,BUWXIA,1.86
332,BUWXIA01,2.07
333,BZPCBQ,179.06
334,BZPCBQ,179.32
335,BZQDCL10,179.21
336,BZQDCL11,179.16
337,BZQDCL12,179.15
338,BZQDCL13,179.15
339,CABTII,172.79
340,CABTII,173.78
341,CACTFE,5.32
342,CACTFE,5.35
343,CACWIN,176.68
344,CACWIN,179.81
345,CACWIN,178.18
346,CACWIN,177.92
347,CACWUZ,177.74
348,CACWUZ,175.82
349,CACWUZ,178.46
350,CACWUZ,178.12
351,CADPAB,179.12
352,CADPAB,177.95
353,CADPEF,177.84
354,CADPEF,179.18
355,CADTAC,178.76
356,CAFJUQ,178.18
357,CAFJUQ,179.19
358,CAFKAX,179.56
359,CAFKAX,179.22
360,CAFKAX,178.15
361,CAFWAH,179.96
362,CAFWAH,179.74
363,CAHKUS,178.13
364,CAHLIH,176.65
365,CALROX,1.82
366,CAMAND,178.44
367,CANANP,177.87
368,CANANP,177.54
369,CANANP,177.53
370,CANANP,177.07
371,CANANP01,176.64
372,CANANP01,177.09
373,CANANP01,178.43
374,CANANP01,177.85
375,CANAPQ,179.77
376,CANAPQ01,178.08
377,CANDAZ,173.97
378,CANDAZ,175.19
379,CANDAZ,175.67
380,CANDAZ,178.85
381,CANQOX,177.67
382,CANQTZ,179.31
383,CAPLAH,180.0
384,CAPLUA,173.2
385,CAPLUA,170.97
386,CAPMAH,173.43
387,CAPMAH,171.75
388,CARMAM,174.26
389,CARMAM,170.13
390,CATMOZ,179.87
391,CAVYED,179.75
392,CAVYIH,179.24
393,CAVYIH01,179.46
394,CAXKAN,179.19
395,CAXKAN,179.47
396,CAZCHO,178.86
397,CAZCHO,178.43
398,CAZCHO,177.53
399,CAZCHO,179.41
400,CBFUZO,178.36
401,CBFUZO01,179.27
402,CBFUZO02,179.41
403,CBITAZ,178.92
404,CBOXAA,176.43
405,CBOXAS,176.94
